사업장명,코드명,위도,경도
CGV강남,areacode=01&theatercode=0056,37.5016425941727,127.02635074892599
CGV강변,areacode=01&theatercode=0001,37.5356908448869,127.09574000671199
CGV건대입구,areacode=01&theatercode=0229,37.5397791130033,127.06690978784799
CGV구로,areacode=01&theatercode=0010,37.5011652662492,126.88281525799299
CGV대학로,areacode=01&theatercode=0063,37.5834563927851,126.999821933551
CGV동대문,areacode=01&theatercode=0252,37.5686335877825,127.00770696877
CGV등촌,areacode=01&theatercode=0230,37.5578559002692,126.856021032489
CGV명동,areacode=01&theatercode=0009,37.5634033914926,126.98286542037901
CGV명동역 씨네라이브러리,areacode=01&theatercode=0105,37.5613186208903,126.98532786270201
CGV목동,areacode=01&theatercode=0011,37.526842812289296,126.87501009799401
CGV미아,areacode=01&theatercode=0057,37.6120492059433,127.030690433212
CGV불광,areacode=01&theatercode=0030,37.6097105814341,126.92897751305
CGV상봉,areacode=01&theatercode=0046,37.5974316807838,127.09221549747801
CGV성신여대입구,areacode=01&theatercode=0300,37.592595465972295,127.017150804721
CGV송파,areacode=01&theatercode=0088,37.477640081191794,127.12497247511101
CGV수유,areacode=01&theatercode=0276,37.6423813101329,127.02982547751499
CGV신촌아트레온,areacode=01&theatercode=0150,37.556550876353604,126.940207004356
CGV압구정,areacode=01&theatercode=0040,37.524573624232296,127.028803301496
CGV여의도,areacode=01&theatercode=0112,37.524967643642505,126.92527368885901
CGV영등포,areacode=01&theatercode=0059,37.5170643270573,126.90331654400299
CGV왕십리,areacode=01&theatercode=0074,37.5612793902755,127.03835652086799
CGV용산아이파크몰,areacode=01&theatercode=0013,37.5316011494977,126.96529122037902
CGV중계,areacode=01&theatercode=0131,37.63990964097339,127.06858164624599
CGV천호,areacode=01&theatercode=0199,37.5457096816914,127.14222584913999
CGV청담씨네시티,areacode=01&theatercode=0107,37.5228860518625,127.037024725961
CGV피카디리1958,areacode=01&theatercode=0223,37.571025812511394,126.99120327531999
CGV하계,areacode=01&theatercode=0164,37.6388175628312,127.06472774306002
CGV홍대,areacode=01&theatercode=0191,37.5564141491733,126.92273246059601
CINE de CHEF 압구정,areacode=01&theatercode=P001,37.5245127,127.0114138
CINE de CHEF 용산아이파크몰,areacode=01&theatercode=P013,37.5285477,126.9477074
